date,actual,predicted,residual,abs_error,squared_error,model_family,spec,dataset,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime
2024-08-19,0.0131368223518544,-0.0004109957789073634,0.013547818130761762,0.013547818130761762,0.00018354337610419712,random_forest,sentiment_std_only,test,14.8,0.2745098039215686,normal_vix,normal_extreme_sentiment
2024-08-20,-0.002363854356637,0.00042692243181718714,-0.0027907767884541874,0.0027907767884541874,7.788435082974669e-06,random_forest,sentiment_std_only,test,14.65,0.2647058823529412,normal_vix,normal_extreme_sentiment
2024-08-21,0.0053114517981261,0.000237377595750742,0.005074074202375358,0.005074074202375358,2.574622901121113e-05,random_forest,sentiment_std_only,test,15.88,0.2625,normal_vix,normal_extreme_sentiment
2024-08-22,-0.0169397805533092,0.00048713932139579744,-0.017426919874704995,0.017426919874704995,0.00030369753631938795,random_forest,sentiment_std_only,test,16.27,0.3195876288659793,normal_vix,normal_extreme_sentiment
2024-08-23,0.0116815138358592,0.0015212142408591288,0.010160299595000071,0.010160299595000071,0.0001032316878601586,random_forest,sentiment_std_only,test,17.55,0.3125,normal_vix,normal_extreme_sentiment
2024-08-26,-0.0104202629896593,1.4362726838153835e-05,-0.010434625716497455,0.010434625716497455,0.00010888141384339002,random_forest,sentiment_std_only,test,15.86,0.3857142857142857,normal_vix,normal_extreme_sentiment
2024-08-27,0.0033290811040384,-0.0004980244156991611,0.003827105519737561,0.003827105519737561,1.4646736659205707e-05,random_forest,sentiment_std_only,test,16.15,0.2692307692307692,normal_vix,normal_extreme_sentiment
2024-08-28,-0.0118535479807045,0.0003242678468948673,-0.012177815827599367,0.012177815827599367,0.00014829919833092965,random_forest,sentiment_std_only,test,15.43,0.3292682926829268,normal_vix,normal_extreme_sentiment
2024-08-29,-0.0013098527296353,0.0008443271746175005,-0.0021541799042528002,0.0021541799042528002,4.6404910598866035e-06,random_forest,sentiment_std_only,test,17.11,0.35,normal_vix,normal_extreme_sentiment
2024-08-30,0.012812043156723,0.0015768188534878583,0.01123522430323514,0.01123522430323514,0.00012623026514400554,random_forest,sentiment_std_only,test,15.65,0.3285714285714285,normal_vix,normal_extreme_sentiment
